Added,Retired,Box,Type,Label,Material,Set,Maker,Origin,Acquired,2020.ring,2020.order,2020.color,2021.ring,2021.order,2021.color
2017,FALSE,,3D Printed,3D snowflake ornament or tree topper,3D printed,,Homemade,Homemade,Gift from volunteer,,,,,,
2017,FALSE,,3D Printed,3D rotating snowflake window ornament (set of 2) red,3D printed,,Homemade,Homemade,Gift from volunteer,,,,,,
2017,FALSE,,3D Printed,3D rotating snowflake window ornament (set of 2) green,3D printed,,Homemade,Homemade,Gift from volunteer,,,,,,
2017,FALSE,,3D Printed,3D printed Red Cross,3D printed,,Homemade,Homemade,Gift from volunteer,,,,,,
2018,FALSE,,Accessories,Palladium Tree Topper or Large Ornament,Metal,,Georg Jensen,Denmark,Georg Jensen,,,,,,
1990(s),FALSE,,Accessories,Black Wire Ornament Stand,Metal,,Hallmark,Unknown,From Childhood,,,,,,
2019,FALSE,,Accessories,Modern Christmas Tree (blue with stand),,,Modern Christmas Trees,Unknown,Modern Christmas Trees,,,,,,
2019,FALSE,,Accessories,Atomic Tree Topper,Plastic,,Modern Christmas Trees,Unknown,Modern Christmas Trees,,,,,,
2003,FALSE,,Accessories,Cords of Olive the Other Reindeer lights,,2,Nordstrom,Unknown,Nordstrom,,,,,,
2018,FALSE,,Accessories,Cords of blue LED lights,,3,Unknown,Unknown,Amazon,,,,,,
1980(s),FALSE,,Accessories,Mouse Tree Skirt from Childhood,,,Unknown,Unknown,From Childhood,,,,,,
2015,FALSE,,Accessories,Red Tree Stand,,,Vintage,China,Antique Store,,,,,,
2020,FALSE,,Accessories,Tabletop Tree/Plant Stand in White,,,,,,,,,,,
2020,FALSE,,Animals,Pink Reindeer,Glass,,Christopher Radko,Poland,Ebay,5,10,#4048C9,5,9,
2020,FALSE,,Animals,Vintage Glass Teddy Bear,Glass,,De Carlini,Italy,Ebay,5,12,#4048C9,2,6,
2019,FALSE,,Animals,Sparkly Octopus 1,Glass,,Katherine's Collection,Ohio,Mary B Decorative Art,,,,11,5,
2019,FALSE,,Animals,Turtle with presents,Glass,,Katherine's Collection,Ohio,Mary B Decorative Art,,,,11,13,
2019,FALSE,,Animals,Sparkly Octopus 2,Glass,,Katherine's Collection,Ohio,Mary B Decorative Art,,,,11,17,
2019,FALSE,,Animals,Pink Reindeer,Resin,,Katherine's Collection,Ohio,Mary B Decorative Art,,,,,,
